,GAME_ID,TEAM_NAME,PTS,WINNER,DEFLECTIONS_RATIO,DEFLECTIONS_DIFF,CONTEST_RATE,CONTEST_RATE_2,CONTEST_RATE_3,CHARGES_RATIO,CHARGES_DIFF,SCREEN_AST_RATIO,SCREEN_AST_DIFF,SCREEN_AST_PTS_RATIO,SCREEN_AST_PTS_DIFF,LOOSE_RATIO,LOOSE_DIFFERENCE,OFF_BOXOUT_RATIO,OFF_BOXOUT_DIFF,DEF_BOXOUT_RATIO,DEF_BOXOUT_DIFF,BOXOUT_TM_RBS_RATIO,BOXOUT_TM_RBS_DIFF
52,21800027,Raptors,117,1,0.16666666666666666,-12,0.651685393258427,0.62,0.6923076923076923,0.3333333333333333,-1,0.5,0,0.5,0,0.3125,-6,0.3,-4,0.5303030303030303,4,0.6363636363636364,9
53,21800027,Wizards,113,0,0.8333333333333334,12,0.5454545454545454,0.559322033898305,0.5172413793103449,0.6666666666666666,1,0.5,0,0.5,0,0.6875,6,0.7,4,0.4696969696969697,-4,0.36363636363636365,-9
54,21800028,Celtics,103,1,0.6129032258064516,7,0.7011494252873564,0.7115384615384616,0.6857142857142857,0.0,-1,0.42857142857142855,-2,0.4375,-4,0.45161290322580644,-3,0.5,0,0.5294117647058824,3,0.5,0
55,21800028,Knicks,101,0,0.3870967741935484,-7,0.6097560975609756,0.5789473684210527,0.68,1.0,1,0.5714285714285714,2,0.5625,4,0.5483870967741935,3,0.5,0,0.47058823529411764,-3,0.5,0
56,21800029,Magic,115,0,0.5263157894736842,2,0.6382978723404256,0.5737704918032787,0.7575757575757576,0.0,-1,0.4,-4,0.375,-12,0.5769230769230769,4,0.4444444444444444,-1,0.6304347826086957,12,0.4782608695652174,-1
57,21800029,76ers,116,1,0.47368421052631576,-2,0.7111111111111111,0.6721311475409836,0.7931034482758621,1.0,1,0.6,4,0.625,12,0.4230769230769231,-4,0.5555555555555556,1,0.3695652173913043,-12,0.5217391304347826,1
58,21800030,Hornets,113,1,0.4,-4,0.7078651685393258,0.7090909090909091,0.7058823529411765,1.0,2,0.6428571428571429,4,0.6388888888888888,10,0.5,0,0.2857142857142857,-3,0.3793103448275862,-14,0.34615384615384615,-8
59,21800030,Heat,112,0,0.6,4,0.8064516129032258,0.7254901960784313,0.9047619047619048,0.0,-2,0.35714285714285715,-4,0.3611111111111111,-10,0.5,0,0.7142857142857143,3,0.6206896551724138,14,0.6538461538461539,8
60,21800031,Pistons,118,1,0.6,4,0.6436781609195402,0.6666666666666666,0.5714285714285714,0.0,0,0.5,0,0.5365853658536586,3,0.3333333333333333,-4,0.375,-2,0.34285714285714286,-11,0.3333333333333333,-6
61,21800031,Bulls,116,0,0.4,-4,0.7623762376237624,0.7540983606557377,0.775,0.0,0,0.5,0,0.4634146341463415,-3,0.6666666666666666,4,0.625,2,0.6571428571428571,11,0.6666666666666666,6
62,21800032,Timberwolves,136,0,0.5945945945945946,7,0.673469387755102,0.625,0.72,1.0,1,0.5714285714285714,2,0.5882352941176471,6,0.34615384615384615,-8,0.3333333333333333,-2,0.5102040816326531,1,0.5909090909090909,4
63,21800032,Mavericks,140,1,0.40540540540540543,-7,0.8095238095238095,0.8771929824561403,0.6666666666666666,0.0,-1,0.42857142857142855,-2,0.4117647058823529,-6,0.6538461538461539,8,0.6666666666666666,2,0.4897959183673469,-1,0.4090909090909091,-4
64,21800033,Suns,91,0,0.45,-2,0.5529411764705883,0.5087719298245614,0.6428571428571429,1.0,2,0.1,-8,0.09523809523809523,-17,0.47058823529411764,-1,0.6666666666666666,1,0.4523809523809524,-4,0.46153846153846156,-2
65,21800033,Nuggets,119,1,0.55,2,0.7402597402597403,0.6842105263157895,0.7948717948717948,0.0,-2,0.9,8,0.9047619047619048,17,0.5294117647058824,1,0.3333333333333333,-1,0.5476190476190477,4,0.5384615384615384,2
66,21800034,Spurs,108,0,0.30434782608695654,-9,0.7142857142857143,0.75,0.65625,0.0,0,0.46153846153846156,-2,0.42857142857142855,-9,0.36363636363636365,-3,0.6,2,0.44,-6,0.3783783783783784,-9
67,21800034,Trail Blazers,121,1,0.6956521739130435,9,0.84,0.7857142857142857,0.9666666666666667,0.0,0,0.5384615384615384,2,0.5714285714285714,9,0.6363636363636364,3,0.4,-2,0.56,6,0.6216216216216216,9
68,21800035,Rockets,124,1,0.5882352941176471,3,0.59,0.5294117647058824,0.71875,1.0,1,1.0,9,1.0,23,0.5714285714285714,2,0.7272727272727273,5,0.4090909090909091,-8,0.5357142857142857,2
69,21800035,Lakers,115,0,0.4117647058823529,-3,0.6458333333333334,0.5740740740740741,0.7380952380952381,0.0,-1,0.0,-9,0.0,-23,0.42857142857142855,-2,0.2727272727272727,-5,0.5909090909090909,8,0.4642857142857143,-2
70,21800036,Hawks,133,1,0.6363636363636364,6,0.7171717171717171,0.7361111111111112,0.6666666666666666,1.0,1,0.25925925925925924,-13,0.3076923076923077,-25,0.6153846153846154,6,0.4,-3,0.3333333333333333,-19,0.34615384615384615,-8
71,21800036,Cavaliers,111,0,0.36363636363636365,-6,0.6836734693877551,0.6078431372549019,0.7659574468085106,0.0,-1,0.7407407407407407,13,0.6923076923076923,25,0.38461538461538464,-6,0.6,3,0.6666666666666666,19,0.6538461538461539,8
72,21800037,Kings,131,1,0.46153846153846156,-2,0.6826923076923077,0.7076923076923077,0.6410256410256411,0.0,-2,0.625,2,0.6470588235294118,5,0.4230769230769231,-4,0.125,-12,0.5882352941176471,9,0.5428571428571428,3
73,21800037,Thunder,120,0,0.5384615384615384,2,0.6593406593406593,0.6811594202898551,0.5909090909090909,1.0,2,0.375,-2,0.35294117647058826,-5,0.5769230769230769,4,0.875,12,0.4117647058823529,-9,0.45714285714285713,-3
74,21800038,Warriors,98,0,0.5185185185185185,1,0.7325581395348837,0.7037037037037037,0.78125,0.6666666666666666,1,0.5714285714285714,2,0.5666666666666667,4,0.38095238095238093,-5,0.2222222222222222,-5,0.7166666666666667,26,0.59375,6
75,21800038,Nuggets,100,1,0.48148148148148145,-1,0.6708860759493671,0.58,0.8275862068965517,0.3333333333333333,-1,0.42857142857142855,-2,0.43333333333333335,-4,0.6190476190476191,5,0.7777777777777778,5,0.2833333333333333,-26,0.40625,-6
